model,gnafbar,nafmvhalf,nafmslope,nafmfactor,nafhvhalf,nafhslope,nafhfactor,gkdrbar,kdrnvhalf,kdrnslope,kdrnfactor,ghcnsbar,hcnratio,hcnmifo,hcnmiso,hcnmifd,hcnmisd,hcnffactor,hcnsfactor,gnapbar,napmvhalf,napmslope,napmfactor,naphvhalf,naphslope,naphfactor,gkabar,kamvhalf,kamslope,kamfactor,kahvhalf,kahslope,kahfactor,ghvabar,hvamvhalf,hvamslope,hvamfactor,hvahvhalf,hvahslope,hvahfactor,glvabar,lvamvhalf,lvamslope,lvamfactor,lvahvhalf,lvahslope,lvahfactor,gkmbar,kmvhalfl,kmkl,kmmfactor,gskbar,Rm,tauca,CM
139,4250427.5,-26.705975,7.6607342,0.867176,-25.942307,6.693881,1.000308,3477792.5,-19.983669,18.919313,1.056823,35377.469,2.163064,74.959435,3.1994369,11.082167,17.252239,0.992356,1.014469,30394.035,48.985821,3.9086261,0.92367101,44.292965,9.4598932,1.116528,40830.047,-14.155455,13.246094,0.97468299,-53.629772,8.9663143,1.181288,342941.84,13.161545,9.3635626,1.00687,36.99839,8.131012,0.92961597,131130.78,-48.63213,7.4503851,0.80848002,-84.755089,6.4083581,1.079602,119828.35,-38.756634,-10.075438,1.173546,54038.469,63602.57,67.993156,1.21347
140,2363311.8,-29.458595,8.5691004,1.09592,-23.766291,5.8725519,0.90685302,3493331.2,-16.234438,18.708069,1.178894,45373.109,1.875861,77.528648,4.9561629,9.7052374,16.13006,0.90505099,1.011433,28261.32,46.791775,3.6067619,0.94788498,51.713207,10.999828,1.165782,20288.09,-18.932926,17.622137,1.093453,-53.467804,9.6327753,1.082462,302429.16,11.271748,8.3994598,0.90344602,35.240402,9.7555351,1.151955,75942.305,-57.218994,9.321064,0.959737,-86.174957,6.1721501,1.049735,151492.11,-35.661358,-10.56213,1.0906841,45328.77,75616.414,78.076675,0.85681403
141,3428129.5,-22.62977,10.539476,0.98237997,-24.619209,5.3615041,1.041234,2667921.8,-16.633572,19.058205,0.89467299,30418.68,1.921541,74.555916,-2.0559821,8.964323,15.149195,0.86925602,0.81610698,46238.102,44.569176,4.178679,0.91023099,45.639454,9.128211,0.90612501,45890.059,-16.564114,16.64583,1.181668,-56.553398,7.4060049,1.165203,168131.48,10.254051,9.0483007,1.029659,37.863232,7.4133081,0.81015599,79286.055,-56.860512,7.638752,1.033067,-89.15107,6.6387091,1.140762,98682.141,-42.16888,-9.4990025,0.951572,30068.344,28030.861,93.578362,0.96475601
142,3176458.0,-27.231199,7.5396881,1.095022,-19.237509,5.32691,0.89173597,4722256.0,-17.291023,22.211769,0.90134799,53292.555,1.814448,77.445251,-0.46183699,9.1313286,16.717594,1.128273,1.164396,34809.953,47.322144,3.61939,0.90719199,44.988789,11.940361,1.020909,18515.695,-16.489922,15.893541,1.176156,-61.102608,9.6262302,0.87575197,199665.08,9.3681698,8.0549536,1.199421,40.071342,9.1215353,0.99249899,107450.43,-47.705769,7.747838,0.99568403,-88.748291,5.6790261,1.113469,78939.797,-44.224167,-9.2902184,1.047996,70522.492,70788.281,48.448925,1.111885
143,4722176.0,-26.573645,9.3164797,1.153398,-19.846222,6.503983,1.000734,5218925.0,-12.960596,16.510826,0.91416901,26655.922,1.855811,77.532234,6.1404562,8.5176888,12.812428,0.87395197,0.90280199,40976.281,46.77961,4.4230151,0.87037402,47.53389,10.001209,1.0855041,29826.365,-14.473562,17.184454,0.80896699,-61.428532,7.3358932,1.159341,154990.83,8.743968,8.5130091,0.84225202,41.459183,8.570466,0.98557198,96845.117,-48.90593,7.236702,1.139814,-91.494789,6.3127809,0.84465402,156423.94,-39.166946,-8.3005972,0.989232,57844.684,31525.717,61.618858,0.99840599
144,7433343.0,-24.843367,9.8553429,0.92569101,-25.871805,6.489861,1.169335,3469651.5,-20.116041,20.72929,0.93593597,46130.16,1.728937,78.434471,3.930886,9.5459042,13.997188,1.086121,0.83962101,21433.717,49.250523,3.775002,0.82484603,49.985233,11.795907,0.927845,28623.766,-16.158571,16.442396,0.83631301,-54.862923,8.7199688,1.1829,208063.55,9.8615246,8.7786913,0.88746101,40.585232,9.8351669,0.94379801,71200.055,-47.704357,7.4769669,1.170218,-87.855728,7.3608499,1.107344,119587.27,-37.574291,-8.5969572,1.0917749,94253.656,64497.664,134.16147,1.150902
145,4326734.5,-30.575481,8.9159918,0.83759999,-26.641727,6.431572,1.098732,3845330.0,-17.189415,20.681305,1.074538,30796.609,1.82664,72.317268,0.73387301,8.8592272,15.235087,0.997917,1.1331969,42725.441,49.912876,4.6885228,0.94671798,51.819206,8.115941,0.85031801,19612.393,-21.729116,16.944197,1.028042,-53.425743,9.8337946,0.801332,239047.22,10.55693,9.1900616,1.035197,32.229736,8.8986797,0.97240198,104475.73,-55.420753,7.0877409,1.125249,-83.765747,5.8026319,0.86047697,220273.94,-35.105015,-10.42148,1.107913,32320.727,23834.723,132.39902,1.229696
146,6136958.5,-24.274549,8.5952234,0.98665202,-25.656734,5.5958738,0.90585101,3437724.2,-17.707067,22.272142,1.001768,47685.668,1.964754,72.86795,5.8492069,7.9532962,13.520051,0.875866,0.86283499,59025.664,49.401058,5.2050691,1.1992429,43.833294,10.187691,0.97827703,40067.66,-17.420088,12.137841,0.98874199,-58.689957,8.1928434,0.88041002,133278.47,14.231236,9.8781481,0.86902201,33.511936,10.263366,1.195799,91505.0,-49.733166,6.8277092,0.82556498,-85.182175,7.904181,0.81640601,64319.625,-37.442188,-10.299586,0.94504702,101836.02,22491.949,106.96339,1.104876
147,5212088.5,-25.269398,9.0009003,0.91213,-23.500851,7.0027838,1.030633,3960747.8,-15.71747,19.909063,1.119431,42014.602,1.6056581,76.246422,-1.146476,10.137504,14.237692,1.140065,1.004805,45635.711,47.090107,4.8366728,0.81893599,44.441288,9.2016897,1.1165529,22203.365,-18.975767,12.913398,0.946899,-54.9669,7.3287282,1.060706,243692.27,8.3273468,7.055903,0.87869501,33.448235,9.6749926,1.193607,110339.88,-47.475258,9.1327047,1.1632349,-83.582512,7.6079702,1.1044199,86629.812,-41.872715,-11.685094,0.892398,65352.512,31610.428,142.5692,1.203243
148,3338445.5,-22.285933,10.908508,1.041666,-19.47946,6.4504929,1.054553,1675978.1,-17.904995,19.731298,0.95309597,28543.939,2.01033,71.620888,1.03916,8.4305925,16.651552,0.93355602,0.82356399,31496.17,43.733101,4.6396742,0.93054998,45.222809,8.380291,1.16213,44325.16,-18.318417,12.358836,1.011907,-62.957813,8.3004827,0.85591501,271511.81,12.761689,9.576314,0.811095,35.334774,8.8263254,0.99157703,128383.02,-48.252506,8.3589172,0.902224,-85.819099,5.5156188,1.174057,101868.28,-41.798161,-9.5270977,1.022778,46090.109,72177.82,44.171814,0.98898602
149,2875758.0,-25.770842,8.6744337,0.96431601,-26.498018,7.044621,0.87876898,4496643.5,-12.989262,21.683958,1.181389,20211.271,2.089869,69.670456,0.642618,10.778827,15.335443,0.84895301,0.91347897,46071.633,47.811031,4.426302,0.99267697,46.139515,8.5760527,0.87991601,49531.555,-13.890943,14.694955,0.99144298,-53.686382,7.6243048,1.168519,196814.06,9.8666878,9.7778006,1.101193,33.641823,7.319212,0.83349597,141358.52,-55.914566,7.9536529,0.89696598,-88.936562,5.4163408,0.97724003,65219.125,-39.078388,-9.3331156,0.91958398,60999.141,26372.426,50.871834,1.1898299
150,6636632.5,-21.740164,9.0147161,0.95066202,-19.96294,5.4070539,0.92092597,2838709.5,-15.461109,17.323021,0.99563199,25547.25,1.586036,69.772293,2.972702,9.4468584,12.864499,1.005867,1.012656,50240.793,43.911564,4.4543142,0.88410503,45.585297,8.9607487,1.1186481,39297.438,-20.517767,14.042236,1.0209531,-62.074169,8.18995,1.183349,335964.0,14.358526,7.8914671,0.97567397,37.178818,7.859086,0.89425701,57552.199,-51.180859,8.0945005,1.011536,-85.408485,7.4927158,1.13901,169331.78,-35.711136,-11.864558,1.00411,29989.787,38005.465,140.34698,1.054688
151,4693321.0,-27.12735,7.6919131,1.076169,-24.587381,5.8344612,0.95540297,5322664.0,-14.415106,20.863216,0.86278898,26575.537,1.906201,73.801003,7.2037058,10.979609,13.527474,1.010112,1.176285,46922.266,51.797047,4.5109811,0.91226298,51.723656,9.2241278,1.190367,29228.082,-22.323059,17.040754,1.0879591,-54.692352,8.0166283,1.1478601,308131.12,12.256444,8.5381308,0.911645,32.800915,10.783555,0.86998701,78551.492,-52.182629,7.4927959,1.148102,-90.35907,6.5440068,1.040115,116722.68,-38.263641,-11.817711,1.196454,102686.41,65756.023,42.563606,0.93068397
152,3468685.2,-22.057169,11.096633,0.939264,-22.863741,5.924871,0.91189498,2980317.5,-18.057777,20.640858,1.118129,53369.758,1.9699661,77.794983,5.1478539,10.043025,18.885258,0.88694602,1.027885,67699.547,45.6847,4.1492529,0.84707201,50.130329,9.8040485,0.812168,30413.072,-16.99976,16.740793,0.86035198,-58.804344,9.4592953,0.96441901,138467.3,14.218475,7.975307,1.189793,36.410706,7.8629212,0.85651499,64405.68,-47.612228,7.096385,0.92729199,-90.12793,5.45047,1.175194,167262.56,-41.477974,-8.361867,1.0604841,59457.711,55707.961,72.438072,1.1411
153,6104053.0,-23.184769,10.256412,1.068552,-20.179016,6.6742978,1.026894,6249963.0,-20.481342,20.20093,1.197643,26121.973,1.750271,70.376808,4.1603308,9.6075754,12.913477,0.99107301,1.0520101,57296.746,45.20879,4.2584348,1.153573,47.910473,8.7005978,1.1247391,26510.119,-13.555176,14.646424,0.873658,-61.587116,7.1472602,1.192751,133989.8,9.2823067,7.7404571,0.81628102,41.379856,9.23734,0.94088101,156228.33,-50.918888,7.9691739,1.038053,-90.307045,7.4309211,0.90334702,140363.36,-36.230976,-8.9701147,0.99969298,83377.898,52059.055,148.13068,1.245441
154,8184113.0,-23.926434,10.505363,1.136726,-27.912241,6.5476761,1.119742,3308500.0,-20.221031,17.93342,1.134084,36442.262,1.547838,78.345604,4.8060699,11.166959,15.448956,0.93295503,1.124324,46050.277,43.766964,4.5727162,0.82883102,53.177509,11.596759,0.97981602,41629.18,-20.205898,13.645666,1.098065,-62.340515,8.3601933,1.146632,193501.06,14.724066,8.4642191,0.81628901,36.714928,10.755223,0.96965498,110342.15,-50.311523,9.751667,0.84438902,-89.547897,5.5644631,1.151848,232585.73,-39.628384,-8.2854795,0.81410903,35301.77,50094.387,44.541187,0.84013098
155,2100000.0,-31.138,7.50632,0.80000001,-28.774,4.8864002,0.80000001,1500000.0,-22.655001,15.719,0.80000001,16000.0,1.5,69.199997,-2.1700001,7.8239999,12.72,0.80000001,0.80000001,17000.0,43.700001,3.52,0.80000001,43.799999,7.9840002,0.80000001,12500.0,-23.299999,12.0,0.80000001,-63.0,6.5599999,0.80000001,90000.0,6.0999999,6.7199998,0.80000001,32.0,7.1999998,0.80000001,41900.0,-57.431,6.5618401,0.80000001,-93.165001,5.3417602,0.80000001,62000.0,-45.0,-8.0,0.80000001,26000.0,20000.0,39.0,0.75
156,8500000.0,-21.138,11.25948,1.2,-18.774,7.3295999,1.2,6400000.0,-12.655,23.586,1.2,67000.0,2.2,79.199997,7.8299999,11.736,19.08,1.2,1.2,68000.0,53.700001,5.2800002,1.2,53.799999,11.976,1.2,50000.0,-13.3,18.0,1.2,-53.0,9.8400002,1.2,360000.0,16.1,10.08,1.2,42.0,10.8,1.2,167600.0,-47.431,9.8427601,1.2,-83.165001,8.01264,1.2,248000.0,-35.0,-12.0,1.2,104000.0,80000.0,156.0,1.25
